"Name","Description","Image Path"
"Side Pocket","The Side Pocket is a Backpack attachment that was introduced in 0.0.45.2.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Sidepocket.png"
"Spotlight","The Spotlight is a form of fueled light source that serves as an alternative to Torches and Lanterns.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Constructioncomplete_spotlight.png"
"Spriggull Drumstick","A Spriggull Drumstick is a Food Item in A Township Tale. It is a Drumstick resembling that of an ordinary chicken, the difference being its blue colour and its abnormal size.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Drumstick.png"
"Stick","Sticks are a common resource.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Stick.png"
"Stone","Stone is a common resource found scattered around Town.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Stone.png"
"Tomato","Tomatos are a common Food that can be Eaten either raw, Roasted, or in a Stew.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Tomato.png"
"Tool","Tools are Items used for Crafting and obtaining Resources. Most Tools are Crafted with Handles and Tool Heads, though few are individual Items themselves.",""
"Tool Hook","The Tool Hook is a Backpack attachment that was introduced in 0.0.45.0.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Toolhook.png"
"Torch","A Torch is an item that provides light in A Township Tale","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Torch.png"
"Weapon","Weapons are Tools used in Combat to damage Creatures or other Players.",""
"Wood","Wood is a common resource used to craft a variety of tool handles, in addition to being the most readily available source of fuel.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Wooden_Wedge.jpg"
"Wooden Bag","The Wooden Bag was added in 0.0.46.0 as a for people just beginning their adventures in the Township.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Woodenbag.png"
"Wooden Stake","The Wooden Stake is an item added in the pre-Alpha 0.0.9.0 update.",""
"Wyrm Leg","Wyrm Legs are floppy scythes dropped from Wyrms and may be used as makeshift sickles. They have since been removed from the game due to issues when docking.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Wyrm_Leg.png"
